City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,san patricio,US,2021-12-12 12:16:53,28.017,-97.5169,51.84,47,100,6.24,overcast clouds,0.0,0
1,beringovskiy,RU,2021-12-12 12:16:54,63.05,179.3167,-24.43,98,44,8.48,scattered clouds,0.0,0
2,san agustin,MX,2021-12-12 12:16:54,20.5333,-103.4667,54.32,80,40,0.0,scattered clouds,0.0,0
3,port hardy,CA,2021-12-12 12:16:54,50.6996,-127.4199,37.76,84,100,6.64,light rain,0.0,0
4,paratinga,BR,2021-12-12 12:16:55,-12.6906,-43.1842,75.81,83,99,5.06,overcast clouds,0.0,0
5,bethel,US,2021-12-12 12:16:55,41.3712,-73.414,43.38,54,1,4.0,clear sky,0.0,0
6,avera,US,2021-12-12 12:16:55,33.194,-82.5271,51.67,71,100,8.1,overcast clouds,0.0,0
7,olinda,BR,2021-12-12 12:13:54,-8.0089,-34.8553,85.73,62,40,9.22,scattered clouds,0.0,0
8,santa rosa,PH,2021-12-12 12:16:56,14.3122,121.1114,81.1,80,83,13.0,broken clouds,0.0,0
9,khatanga,RU,2021-12-12 12:16:56,71.9667,102.5,-50.01,100,58,1.97,broken clouds,0.0,0
10,provideniya,RU,2021-12-12 12:16:57,64.3833,-173.3,-10.21,86,2,5.23,clear sky,0.0,0
11,saint-philippe,RE,2021-12-12 12:16:57,-21.3585,55.7679,83.79,75,95,12.55,overcast clouds,0.0,0
12,castro,BR,2021-12-12 12:16:57,-24.7911,-50.0119,78.53,46,88,0.76,overcast clouds,0.0,0
13,moranbah,AU,2021-12-12 12:16:58,-22.0016,148.0466,78.37,62,36,16.58,scattered clouds,0.0,0
14,pevek,RU,2021-12-12 12:16:58,69.7008,170.3133,-34.74,97,35,4.52,scattered clouds,0.0,0
15,mount gambier,AU,2021-12-12 12:16:58,-37.8333,140.7667,62.38,51,21,7.25,few clouds,0.0,0
16,waipawa,NZ,2021-12-12 12:16:59,-41.4122,175.5153,54.23,84,95,7.54,light rain,0.0,0
17,cabo san lucas,MX,2021-12-12 12:13:48,22.8909,-109.9124,70.52,76,8,3.62,clear sky,0.0,0
18,roald,NO,2021-12-12 12:16:59,62.5833,6.1333,44.74,70,75,10.36,broken clouds,0.0,0
19,jamestown,US,2021-12-12 12:16:59,42.097,-79.2353,35.19,84,90,8.99,overcast clouds,0.0,0
20,hithadhoo,MV,2021-12-12 12:16:59,-0.6,73.0833,81.59,74,100,9.78,overcast clouds,0.0,0
21,albany,US,2021-12-12 12:13:55,42.6001,-73.9662,37.47,76,68,1.99,broken clouds,0.0,0
22,saskylakh,RU,2021-12-12 12:12:13,71.9167,114.0833,-45.47,100,69,3.4,broken clouds,0.0,0
23,mar del plata,AR,2021-12-12 12:17:00,-38.0023,-57.5575,64.87,100,100,1.99,light rain,0.0,0
24,te anau,NZ,2021-12-12 12:17:00,-45.4167,167.7167,46.38,91,70,1.52,broken clouds,0.0,0
25,mataura,NZ,2021-12-12 12:17:01,-46.1927,168.8643,46.47,97,72,2.26,broken clouds,0.0,0
26,aripuana,BR,2021-12-12 12:17:01,-9.1667,-60.6333,75.58,95,100,3.85,overcast clouds,0.0,0
27,kapaa,US,2021-12-12 12:17:01,22.0752,-159.319,73.72,83,75,1.99,light rain,0.0,0
28,hobart,AU,2021-12-12 12:17:01,-42.8794,147.3294,55.26,77,20,1.01,few clouds,0.0,0
29,weyburn,CA,2021-12-12 12:15:06,49.6668,-103.8511,29.35,79,5,10.31,clear sky,0.0,0
30,kruisfontein,ZA,2021-12-12 12:17:02,-34.0033,24.7314,75.88,62,72,15.97,broken clouds,0.0,0
31,port hedland,AU,2021-12-12 12:15:15,-20.3167,118.5667,86.05,74,1,10.36,clear sky,0.0,0
32,banda aceh,ID,2021-12-12 12:17:03,5.5577,95.3222,80.22,78,17,13.69,few clouds,0.0,0
33,pingliang,CN,2021-12-12 12:17:03,35.5392,106.6861,26.38,80,6,3.44,clear sky,0.0,0
34,boyolangu,ID,2021-12-12 12:17:03,-8.1181,111.8935,77.05,91,81,5.88,broken clouds,0.0,0
35,bielsko-biala,PL,2021-12-12 12:17:04,49.8224,19.0469,36.39,90,98,5.01,overcast clouds,0.0,0
36,payson,US,2021-12-12 12:17:04,40.0444,-111.7321,35.01,72,1,16.11,clear sky,0.0,0
37,thompson,CA,2021-12-12 12:17:04,55.7435,-97.8558,-2.04,84,90,3.44,light snow,0.0,0
38,trairi,BR,2021-12-12 12:14:35,-3.2778,-39.2689,87.73,54,69,14.18,broken clouds,0.0,0
39,longyearbyen,SJ,2021-12-12 12:17:05,78.2186,15.6401,33.64,80,75,25.32,light rain,0.0,0
40,cape town,ZA,2021-12-12 12:15:06,-33.9258,18.4232,75.11,64,20,1.01,few clouds,0.0,0
41,pisco,PE,2021-12-12 12:17:05,-13.7,-76.2167,68.05,83,90,2.3,overcast clouds,0.0,0
42,santo domingo,DO,2021-12-12 12:13:17,18.5001,-69.9886,76.03,88,20,3.0,few clouds,0.0,0
43,salalah,OM,2021-12-12 12:17:05,17.0151,54.0924,84.29,23,0,19.57,clear sky,0.0,0
44,vaini,TO,2021-12-12 12:17:06,-21.2,-175.2,77.16,94,20,5.75,light rain,0.0,0
45,alta floresta,BR,2021-12-12 12:17:06,-9.8756,-56.0861,70.84,99,100,2.26,light rain,0.0,0
46,bredasdorp,ZA,2021-12-12 12:17:07,-34.5322,20.0403,71.28,49,100,11.36,overcast clouds,0.0,0
47,bluff,NZ,2021-12-12 12:17:07,-46.6,168.3333,46.8,80,48,8.77,scattered clouds,0.0,0
48,port alfred,ZA,2021-12-12 12:17:08,-33.5906,26.891,73.96,78,98,15.88,overcast clouds,0.0,0
49,punta arenas,CL,2021-12-12 12:17:08,-53.15,-70.9167,51.91,54,40,21.85,scattered clouds,0.0,0
50,pacific grove,US,2021-12-12 12:15:50,36.6177,-121.9166,48.61,77,90,1.01,overcast clouds,0.0,0
51,atuona,PF,2021-12-12 12:17:09,-9.8,-139.0333,78.15,79,34,18.43,scattered clouds,0.0,0
52,yellowknife,CA,2021-12-12 12:17:00,62.456,-114.3525,11.41,89,90,8.05,light snow,0.0,0
53,geraldton,AU,2021-12-12 12:17:09,-28.7667,114.6,68.41,64,0,25.32,clear sky,0.0,0
